Home Team,Away Team,Bookmaker,Bet Type,Team,Odds
Eastern Michigan Eagles,Miami (OH) RedHawks,DraftKings,spreads,Eastern Michigan Eagles,1.95
Eastern Michigan Eagles,Miami (OH) RedHawks,DraftKings,spreads,Miami (OH) RedHawks,1.8
Eastern Michigan Eagles,Miami (OH) RedHawks,BetMGM,h2h,Eastern Michigan Eagles,1.31
Eastern Michigan Eagles,Miami (OH) RedHawks,BetMGM,h2h,Miami (OH) RedHawks,3.4
Eastern Michigan Eagles,Miami (OH) RedHawks,Bovada,h2h,Eastern Michigan Eagles,1.24
Eastern Michigan Eagles,Miami (OH) RedHawks,Bovada,h2h,Miami (OH) RedHawks,3.85
Eastern Michigan Eagles,Miami (OH) RedHawks,Bovada,spreads,Eastern Michigan Eagles,1.91
Eastern Michigan Eagles,Miami (OH) RedHawks,Bovada,spreads,Miami (OH) RedHawks,1.83
Queens University Royals,Central Arkansas Bears,FanDuel,h2h,Central Arkansas Bears,21.0
Queens University Royals,Central Arkansas Bears,FanDuel,h2h,Queens University Royals,1.0
Queens University Royals,Central Arkansas Bears,FanDuel,spreads,Central Arkansas Bears,1.91
Queens University Royals,Central Arkansas Bears,FanDuel,spreads,Queens University Royals,1.85
Queens University Royals,Central Arkansas Bears,DraftKings,h2h,Central Arkansas Bears,21.0
Queens University Royals,Central Arkansas Bears,DraftKings,h2h,Queens University Royals,1.01
Queens University Royals,Central Arkansas Bears,DraftKings,spreads,Central Arkansas Bears,1.91
Queens University Royals,Central Arkansas Bears,DraftKings,spreads,Queens University Royals,1.83
Queens University Royals,Central Arkansas Bears,BetRivers,spreads,Central Arkansas Bears,1.83
Queens University Royals,Central Arkansas Bears,BetRivers,spreads,Queens University Royals,1.8
Queens University Royals,Central Arkansas Bears,Bovada,h2h,Central Arkansas Bears,15.0
Queens University Royals,Central Arkansas Bears,Bovada,h2h,Queens University Royals,1.02
Queens University Royals,Central Arkansas Bears,Bovada,spreads,Central Arkansas Bears,1.83
Queens University Royals,Central Arkansas Bears,Bovada,spreads,Queens University Royals,1.91
Eastern Kentucky Colonels,Lipscomb Bisons,FanDuel,h2h,Eastern Kentucky Colonels,1.58
Eastern Kentucky Colonels,Lipscomb Bisons,FanDuel,h2h,Lipscomb Bisons,2.34
Eastern Kentucky Colonels,Lipscomb Bisons,FanDuel,spreads,Eastern Kentucky Colonels,1.93
Eastern Kentucky Colonels,Lipscomb Bisons,FanDuel,spreads,Lipscomb Bisons,1.83
Eastern Kentucky Colonels,Lipscomb Bisons,DraftKings,h2h,Eastern Kentucky Colonels,1.57
Eastern Kentucky Colonels,Lipscomb Bisons,DraftKings,h2h,Lipscomb Bisons,2.35
Eastern Kentucky Colonels,Lipscomb Bisons,DraftKings,spreads,Eastern Kentucky Colonels,1.8
Eastern Kentucky Colonels,Lipscomb Bisons,DraftKings,spreads,Lipscomb Bisons,1.95
Eastern Kentucky Colonels,Lipscomb Bisons,BetRivers,h2h,Eastern Kentucky Colonels,1.57
Eastern Kentucky Colonels,Lipscomb Bisons,BetRivers,h2h,Lipscomb Bisons,2.18
Eastern Kentucky Colonels,Lipscomb Bisons,BetRivers,spreads,Eastern Kentucky Colonels,1.83
Eastern Kentucky Colonels,Lipscomb Bisons,BetRivers,spreads,Lipscomb Bisons,1.8
Eastern Kentucky Colonels,Lipscomb Bisons,BetMGM,h2h,Eastern Kentucky Colonels,1.57
