Home Team,Away Team,Bookmaker,Bet Type,Team,Odds
Ohio Bobcats,Central Michigan Chippewas,Bovada,spreads,Central Michigan Chippewas,1.83
Ohio Bobcats,Central Michigan Chippewas,Bovada,spreads,Ohio Bobcats,1.91
Ohio Bobcats,Central Michigan Chippewas,BetRivers,h2h,Central Michigan Chippewas,2.25
Ohio Bobcats,Central Michigan Chippewas,BetRivers,h2h,Ohio Bobcats,1.56
Ohio Bobcats,Central Michigan Chippewas,BetRivers,spreads,Central Michigan Chippewas,1.85
Ohio Bobcats,Central Michigan Chippewas,BetRivers,spreads,Ohio Bobcats,1.81
Davidson Wildcats,Loyola (Chi) Ramblers,FanDuel,h2h,Davidson Wildcats,2.18
Davidson Wildcats,Loyola (Chi) Ramblers,FanDuel,h2h,Loyola (Chi) Ramblers,1.67
Davidson Wildcats,Loyola (Chi) Ramblers,FanDuel,spreads,Davidson Wildcats,1.88
Davidson Wildcats,Loyola (Chi) Ramblers,FanDuel,spreads,Loyola (Chi) Ramblers,1.88
Davidson Wildcats,Loyola (Chi) Ramblers,DraftKings,h2h,Davidson Wildcats,2.4
Davidson Wildcats,Loyola (Chi) Ramblers,DraftKings,h2h,Loyola (Chi) Ramblers,1.56
Davidson Wildcats,Loyola (Chi) Ramblers,DraftKings,spreads,Davidson Wildcats,1.83
Davidson Wildcats,Loyola (Chi) Ramblers,DraftKings,spreads,Loyola (Chi) Ramblers,1.91
Davidson Wildcats,Loyola (Chi) Ramblers,BetMGM,h2h,Davidson Wildcats,2.3
Davidson Wildcats,Loyola (Chi) Ramblers,BetMGM,h2h,Loyola (Chi) Ramblers,1.61
Davidson Wildcats,Loyola (Chi) Ramblers,BetMGM,spreads,Davidson Wildcats,1.85
Davidson Wildcats,Loyola (Chi) Ramblers,BetMGM,spreads,Loyola (Chi) Ramblers,1.91
Davidson Wildcats,Loyola (Chi) Ramblers,Bovada,h2h,Davidson Wildcats,2.3
Davidson Wildcats,Loyola (Chi) Ramblers,Bovada,h2h,Loyola (Chi) Ramblers,1.59
Davidson Wildcats,Loyola (Chi) Ramblers,Bovada,spreads,Davidson Wildcats,1.87
Davidson Wildcats,Loyola (Chi) Ramblers,Bovada,spreads,Loyola (Chi) Ramblers,1.87
Davidson Wildcats,Loyola (Chi) Ramblers,BetRivers,h2h,Davidson Wildcats,2.18
Davidson Wildcats,Loyola (Chi) Ramblers,BetRivers,h2h,Loyola (Chi) Ramblers,1.57
Davidson Wildcats,Loyola (Chi) Ramblers,BetRivers,spreads,Davidson Wildcats,1.85
Davidson Wildcats,Loyola (Chi) Ramblers,BetRivers,spreads,Loyola (Chi) Ramblers,1.78
Xavier Musketeers,Butler Bulldogs,BetOnline.ag,h2h,Butler Bulldogs,3.7
Xavier Musketeers,Butler Bulldogs,BetOnline.ag,h2h,Xavier Musketeers,1.31
Xavier Musketeers,Butler Bulldogs,BetOnline.ag,spreads,Butler Bulldogs,1.91
Xavier Musketeers,Butler Bulldogs,BetOnline.ag,spreads,Xavier Musketeers,1.91
Xavier Musketeers,Butler Bulldogs,LowVig.ag,h2h,Butler Bulldogs,3.7
Xavier Musketeers,Butler Bulldogs,LowVig.ag,h2h,Xavier Musketeers,1.31
Xavier Musketeers,Butler Bulldogs,LowVig.ag,spreads,Butler Bulldogs,1.94
Xavier Musketeers,Butler Bulldogs,LowVig.ag,spreads,Xavier Musketeers,1.94
Xavier Musketeers,Butler Bulldogs,FanDuel,h2h,Butler Bulldogs,3.45
Xavier Musketeers,Butler Bulldogs,FanDuel,h2h,Xavier Musketeers,1.32
Xavier Musketeers,Butler Bulldogs,FanDuel,spreads,Butler Bulldogs,1.87
Xavier Musketeers,Butler Bulldogs,FanDuel,spreads,Xavier Musketeers,1.95
Xavier Musketeers,Butler Bulldogs,DraftKings,h2h,Butler Bulldogs,3.5
Xavier Musketeers,Butler Bulldogs,DraftKings,h2h,Xavier Musketeers,1.32
Xavier Musketeers,Butler Bulldogs,DraftKings,spreads,Butler Bulldogs,1.87
Xavier Musketeers,Butler Bulldogs,DraftKings,spreads,Xavier Musketeers,1.95
Xavier Musketeers,Butler Bulldogs,BetUS,h2h,Butler Bulldogs,3.65
Xavier Musketeers,Butler Bulldogs,BetUS,h2h,Xavier Musketeers,1.31
Xavier Musketeers,Butler Bulldogs,BetUS,spreads,Butler Bulldogs,1.91
Xavier Musketeers,Butler Bulldogs,BetUS,spreads,Xavier Musketeers,1.91
Xavier Musketeers,Butler Bulldogs,BetMGM,h2h,Butler Bulldogs,3.6
Xavier Musketeers,Butler Bulldogs,BetMGM,h2h,Xavier Musketeers,1.31
Xavier Musketeers,Butler Bulldogs,BetMGM,spreads,Butler Bulldogs,1.87
Xavier Musketeers,Butler Bulldogs,BetMGM,spreads,Xavier Musketeers,1.95
Xavier Musketeers,Butler Bulldogs,Bovada,h2h,Butler Bulldogs,3.65
Xavier Musketeers,Butler Bulldogs,Bovada,h2h,Xavier Musketeers,1.3
Xavier Musketeers,Butler Bulldogs,Bovada,spreads,Butler Bulldogs,1.91
Xavier Musketeers,Butler Bulldogs,Bovada,spreads,Xavier Musketeers,1.91
Xavier Musketeers,Butler Bulldogs,BetRivers,h2h,Butler Bulldogs,3.35
Xavier Musketeers,Butler Bulldogs,BetRivers,h2h,Xavier Musketeers,1.33
Xavier Musketeers,Butler Bulldogs,BetRivers,spreads,Butler Bulldogs,1.89
Xavier Musketeers,Butler Bulldogs,BetRivers,spreads,Xavier Musketeers,1.92
Iowa State Cyclones,Colorado Buffaloes,BetOnline.ag,h2h,Colorado Buffaloes,12.5
Iowa State Cyclones,Colorado Buffaloes,BetOnline.ag,h2h,Iowa State Cyclones,1.04
Iowa State Cyclones,Colorado Buffaloes,BetOnline.ag,spreads,Colorado Buffaloes,1.93
Iowa State Cyclones,Colorado Buffaloes,BetOnline.ag,spreads,Iowa State Cyclones,1.88
Iowa State Cyclones,Colorado Buffaloes,LowVig.ag,h2h,Colorado Buffaloes,12.5
Iowa State Cyclones,Colorado Buffaloes,LowVig.ag,h2h,Iowa State Cyclones,1.04
Iowa State Cyclones,Colorado Buffaloes,LowVig.ag,spreads,Colorado Buffaloes,1.97
Iowa State Cyclones,Colorado Buffaloes,LowVig.ag,spreads,Iowa State Cyclones,1.92
Iowa State Cyclones,Colorado Buffaloes,DraftKings,h2h,Colorado Buffaloes,13.0
Iowa State Cyclones,Colorado Buffaloes,DraftKings,h2h,Iowa State Cyclones,1.04
Iowa State Cyclones,Colorado Buffaloes,DraftKings,spreads,Colorado Buffaloes,1.95
Iowa State Cyclones,Colorado Buffaloes,DraftKings,spreads,Iowa State Cyclones,1.87
Iowa State Cyclones,Colorado Buffaloes,FanDuel,h2h,Colorado Buffaloes,15.0
Iowa State Cyclones,Colorado Buffaloes,FanDuel,h2h,Iowa State Cyclones,1.02
Iowa State Cyclones,Colorado Buffaloes,FanDuel,spreads,Colorado Buffaloes,1.88
Iowa State Cyclones,Colorado Buffaloes,FanDuel,spreads,Iowa State Cyclones,1.94
Iowa State Cyclones,Colorado Buffaloes,BetUS,h2h,Colorado Buffaloes,12.8
Iowa State Cyclones,Colorado Buffaloes,BetUS,h2h,Iowa State Cyclones,1.04
Iowa State Cyclones,Colorado Buffaloes,BetUS,spreads,Colorado Buffaloes,1.91
Iowa State Cyclones,Colorado Buffaloes,BetUS,spreads,Iowa State Cyclones,1.91
Iowa State Cyclones,Colorado Buffaloes,BetMGM,h2h,Colorado Buffaloes,12.0
Iowa State Cyclones,Colorado Buffaloes,BetMGM,h2h,Iowa State Cyclones,1.04
Iowa State Cyclones,Colorado Buffaloes,BetMGM,spreads,Colorado Buffaloes,1.91
Iowa State Cyclones,Colorado Buffaloes,BetMGM,spreads,Iowa State Cyclones,1.91
Iowa State Cyclones,Colorado Buffaloes,Bovada,h2h,Colorado Buffaloes,12.0
Iowa State Cyclones,Colorado Buffaloes,Bovada,h2h,Iowa State Cyclones,1.04
Iowa State Cyclones,Colorado Buffaloes,Bovada,spreads,Colorado Buffaloes,1.87
Iowa State Cyclones,Colorado Buffaloes,Bovada,spreads,Iowa State Cyclones,1.95
Iowa State Cyclones,Colorado Buffaloes,BetRivers,h2h,Colorado Buffaloes,14.0
Iowa State Cyclones,Colorado Buffaloes,BetRivers,h2h,Iowa State Cyclones,1.02
Iowa State Cyclones,Colorado Buffaloes,BetRivers,spreads,Colorado Buffaloes,1.93
Iowa State Cyclones,Colorado Buffaloes,BetRivers,spreads,Iowa State Cyclones,1.88
TCU Horned Frogs,Texas Tech Red Raiders,BetOnline.ag,h2h,TCU Horned Frogs,3.75
TCU Horned Frogs,Texas Tech Red Raiders,BetOnline.ag,h2h,Texas Tech Red Raiders,1.3
TCU Horned Frogs,Texas Tech Red Raiders,BetOnline.ag,spreads,TCU Horned Frogs,1.96
TCU Horned Frogs,Texas Tech Red Raiders,BetOnline.ag,spreads,Texas Tech Red Raiders,1.86
TCU Horned Frogs,Texas Tech Red Raiders,LowVig.ag,h2h,TCU Horned Frogs,3.75
TCU Horned Frogs,Texas Tech Red Raiders,LowVig.ag,h2h,Texas Tech Red Raiders,1.3
TCU Horned Frogs,Texas Tech Red Raiders,LowVig.ag,spreads,TCU Horned Frogs,2.0
TCU Horned Frogs,Texas Tech Red Raiders,LowVig.ag,spreads,Texas Tech Red Raiders,1.89
TCU Horned Frogs,Texas Tech Red Raiders,DraftKings,h2h,TCU Horned Frogs,3.6
TCU Horned Frogs,Texas Tech Red Raiders,DraftKings,h2h,Texas Tech Red Raiders,1.31
TCU Horned Frogs,Texas Tech Red Raiders,DraftKings,spreads,TCU Horned Frogs,1.87
TCU Horned Frogs,Texas Tech Red Raiders,DraftKings,spreads,Texas Tech Red Raiders,1.95
TCU Horned Frogs,Texas Tech Red Raiders,FanDuel,h2h,TCU Horned Frogs,3.35
TCU Horned Frogs,Texas Tech Red Raiders,FanDuel,h2h,Texas Tech Red Raiders,1.34
TCU Horned Frogs,Texas Tech Red Raiders,FanDuel,spreads,TCU Horned Frogs,1.87
TCU Horned Frogs,Texas Tech Red Raiders,FanDuel,spreads,Texas Tech Red Raiders,1.95
TCU Horned Frogs,Texas Tech Red Raiders,BetUS,h2h,TCU Horned Frogs,3.65
TCU Horned Frogs,Texas Tech Red Raiders,BetUS,h2h,Texas Tech Red Raiders,1.31
TCU Horned Frogs,Texas Tech Red Raiders,BetUS,spreads,TCU Horned Frogs,1.91
TCU Horned Frogs,Texas Tech Red Raiders,BetUS,spreads,Texas Tech Red Raiders,1.91
TCU Horned Frogs,Texas Tech Red Raiders,BetMGM,h2h,TCU Horned Frogs,3.6
TCU Horned Frogs,Texas Tech Red Raiders,BetMGM,h2h,Texas Tech Red Raiders,1.31
TCU Horned Frogs,Texas Tech Red Raiders,BetMGM,spreads,TCU Horned Frogs,1.87
TCU Horned Frogs,Texas Tech Red Raiders,BetMGM,spreads,Texas Tech Red Raiders,1.95
TCU Horned Frogs,Texas Tech Red Raiders,Bovada,h2h,TCU Horned Frogs,3.65
TCU Horned Frogs,Texas Tech Red Raiders,Bovada,h2h,Texas Tech Red Raiders,1.3
TCU Horned Frogs,Texas Tech Red Raiders,Bovada,spreads,TCU Horned Frogs,1.91
TCU Horned Frogs,Texas Tech Red Raiders,Bovada,spreads,Texas Tech Red Raiders,1.91
TCU Horned Frogs,Texas Tech Red Raiders,BetRivers,h2h,TCU Horned Frogs,3.7
TCU Horned Frogs,Texas Tech Red Raiders,BetRivers,h2h,Texas Tech Red Raiders,1.29
TCU Horned Frogs,Texas Tech Red Raiders,BetRivers,spreads,TCU Horned Frogs,1.93
TCU Horned Frogs,Texas Tech Red Raiders,BetRivers,spreads,Texas Tech Red Raiders,1.88
Wyoming Cowboys,Air Force Falcons,BetOnline.ag,h2h,Air Force Falcons,4.5
Wyoming Cowboys,Air Force Falcons,BetOnline.ag,h2h,Wyoming Cowboys,1.23
Wyoming Cowboys,Air Force Falcons,BetOnline.ag,spreads,Air Force Falcons,1.86
Wyoming Cowboys,Air Force Falcons,BetOnline.ag,spreads,Wyoming Cowboys,1.96
Wyoming Cowboys,Air Force Falcons,LowVig.ag,h2h,Air Force Falcons,4.5
Wyoming Cowboys,Air Force Falcons,LowVig.ag,h2h,Wyoming Cowboys,1.23
Wyoming Cowboys,Air Force Falcons,LowVig.ag,spreads,Air Force Falcons,1.89
Wyoming Cowboys,Air Force Falcons,LowVig.ag,spreads,Wyoming Cowboys,2.0
Wyoming Cowboys,Air Force Falcons,FanDuel,h2h,Air Force Falcons,4.3
Wyoming Cowboys,Air Force Falcons,FanDuel,h2h,Wyoming Cowboys,1.23
Wyoming Cowboys,Air Force Falcons,FanDuel,spreads,Air Force Falcons,1.98
Wyoming Cowboys,Air Force Falcons,FanDuel,spreads,Wyoming Cowboys,1.83
Wyoming Cowboys,Air Force Falcons,DraftKings,h2h,Air Force Falcons,4.6
Wyoming Cowboys,Air Force Falcons,DraftKings,h2h,Wyoming Cowboys,1.21
Wyoming Cowboys,Air Force Falcons,DraftKings,spreads,Air Force Falcons,1.89
Wyoming Cowboys,Air Force Falcons,DraftKings,spreads,Wyoming Cowboys,1.93
Wyoming Cowboys,Air Force Falcons,BetUS,h2h,Air Force Falcons,4.38
Wyoming Cowboys,Air Force Falcons,BetUS,h2h,Wyoming Cowboys,1.23
Wyoming Cowboys,Air Force Falcons,BetUS,spreads,Air Force Falcons,1.91
Wyoming Cowboys,Air Force Falcons,BetUS,spreads,Wyoming Cowboys,1.91
Wyoming Cowboys,Air Force Falcons,BetMGM,h2h,Air Force Falcons,4.25
Wyoming Cowboys,Air Force Falcons,BetMGM,h2h,Wyoming Cowboys,1.24
Wyoming Cowboys,Air Force Falcons,BetMGM,spreads,Air Force Falcons,1.91
Wyoming Cowboys,Air Force Falcons,BetMGM,spreads,Wyoming Cowboys,1.91
Wyoming Cowboys,Air Force Falcons,Bovada,h2h,Air Force Falcons,4.3
Wyoming Cowboys,Air Force Falcons,Bovada,h2h,Wyoming Cowboys,1.23
Wyoming Cowboys,Air Force Falcons,Bovada,spreads,Air Force Falcons,1.95
Wyoming Cowboys,Air Force Falcons,Bovada,spreads,Wyoming Cowboys,1.87
Wyoming Cowboys,Air Force Falcons,BetRivers,h2h,Air Force Falcons,4.2
Wyoming Cowboys,Air Force Falcons,BetRivers,h2h,Wyoming Cowboys,1.23
Wyoming Cowboys,Air Force Falcons,BetRivers,spreads,Air Force Falcons,1.93
Wyoming Cowboys,Air Force Falcons,BetRivers,spreads,Wyoming Cowboys,1.88
Wisconsin Badgers,Illinois Fighting Illini,BetOnline.ag,h2h,Illinois Fighting Illini,2.52
Wisconsin Badgers,Illinois Fighting Illini,BetOnline.ag,h2h,Wisconsin Badgers,1.58
Wisconsin Badgers,Illinois Fighting Illini,BetOnline.ag,spreads,Illinois Fighting Illini,1.88
Wisconsin Badgers,Illinois Fighting Illini,BetOnline.ag,spreads,Wisconsin Badgers,1.94
Wisconsin Badgers,Illinois Fighting Illini,LowVig.ag,h2h,Illinois Fighting Illini,2.52
Wisconsin Badgers,Illinois Fighting Illini,LowVig.ag,h2h,Wisconsin Badgers,1.58
Wisconsin Badgers,Illinois Fighting Illini,LowVig.ag,spreads,Illinois Fighting Illini,1.91
Wisconsin Badgers,Illinois Fighting Illini,LowVig.ag,spreads,Wisconsin Badgers,1.98
Wisconsin Badgers,Illinois Fighting Illini,FanDuel,h2h,Illinois Fighting Illini,2.36
Wisconsin Badgers,Illinois Fighting Illini,FanDuel,h2h,Wisconsin Badgers,1.61
Wisconsin Badgers,Illinois Fighting Illini,FanDuel,spreads,Illinois Fighting Illini,1.91
Wisconsin Badgers,Illinois Fighting Illini,FanDuel,spreads,Wisconsin Badgers,1.91
Wisconsin Badgers,Illinois Fighting Illini,DraftKings,h2h,Illinois Fighting Illini,2.5
Wisconsin Badgers,Illinois Fighting Illini,DraftKings,h2h,Wisconsin Badgers,1.56
Wisconsin Badgers,Illinois Fighting Illini,DraftKings,spreads,Illinois Fighting Illini,1.87
Wisconsin Badgers,Illinois Fighting Illini,DraftKings,spreads,Wisconsin Badgers,1.95
Wisconsin Badgers,Illinois Fighting Illini,BetUS,h2h,Illinois Fighting Illini,2.46
Wisconsin Badgers,Illinois Fighting Illini,BetUS,h2h,Wisconsin Badgers,1.59
Wisconsin Badgers,Illinois Fighting Illini,BetUS,spreads,Illinois Fighting Illini,1.95
Wisconsin Badgers,Illinois Fighting Illini,BetUS,spreads,Wisconsin Badgers,1.87
Wisconsin Badgers,Illinois Fighting Illini,BetMGM,h2h,Illinois Fighting Illini,2.45
Wisconsin Badgers,Illinois Fighting Illini,BetMGM,h2h,Wisconsin Badgers,1.57
Wisconsin Badgers,Illinois Fighting Illini,BetMGM,spreads,Illinois Fighting Illini,1.91
Wisconsin Badgers,Illinois Fighting Illini,BetMGM,spreads,Wisconsin Badgers,1.91
Wisconsin Badgers,Illinois Fighting Illini,Bovada,h2h,Illinois Fighting Illini,2.55
Wisconsin Badgers,Illinois Fighting Illini,Bovada,h2h,Wisconsin Badgers,1.56
Wisconsin Badgers,Illinois Fighting Illini,Bovada,spreads,Illinois Fighting Illini,1.87
Wisconsin Badgers,Illinois Fighting Illini,Bovada,spreads,Wisconsin Badgers,1.95
Wisconsin Badgers,Illinois Fighting Illini,BetRivers,h2h,Illinois Fighting Illini,2.48
Wisconsin Badgers,Illinois Fighting Illini,BetRivers,h2h,Wisconsin Badgers,1.55
Wisconsin Badgers,Illinois Fighting Illini,BetRivers,spreads,Illinois Fighting Illini,1.93
Wisconsin Badgers,Illinois Fighting Illini,BetRivers,spreads,Wisconsin Badgers,1.88
Tenn-Martin Skyhawks,Tennessee St Tigers,BetOnline.ag,h2h,Tenn-Martin Skyhawks,1.67
Tenn-Martin Skyhawks,Tennessee St Tigers,BetOnline.ag,h2h,Tennessee St Tigers,2.3
Tenn-Martin Skyhawks,Tennessee St Tigers,BetOnline.ag,spreads,Tenn-Martin Skyhawks,1.95
Tenn-Martin Skyhawks,Tennessee St Tigers,BetOnline.ag,spreads,Tennessee St Tigers,1.87
Tenn-Martin Skyhawks,Tennessee St Tigers,LowVig.ag,h2h,Tenn-Martin Skyhawks,1.67
Tenn-Martin Skyhawks,Tennessee St Tigers,LowVig.ag,h2h,Tennessee St Tigers,2.3
Tenn-Martin Skyhawks,Tennessee St Tigers,LowVig.ag,spreads,Tenn-Martin Skyhawks,1.99
Tenn-Martin Skyhawks,Tennessee St Tigers,LowVig.ag,spreads,Tennessee St Tigers,1.9
Tenn-Martin Skyhawks,Tennessee St Tigers,FanDuel,h2h,Tenn-Martin Skyhawks,1.67
Tenn-Martin Skyhawks,Tennessee St Tigers,FanDuel,h2h,Tennessee St Tigers,2.25
Tenn-Martin Skyhawks,Tennessee St Tigers,FanDuel,spreads,Tenn-Martin Skyhawks,1.87
Tenn-Martin Skyhawks,Tennessee St Tigers,FanDuel,spreads,Tennessee St Tigers,1.95
Tenn-Martin Skyhawks,Tennessee St Tigers,BetUS,h2h,Tenn-Martin Skyhawks,1.66
Tenn-Martin Skyhawks,Tennessee St Tigers,BetUS,h2h,Tennessee St Tigers,2.3
Tenn-Martin Skyhawks,Tennessee St Tigers,BetUS,spreads,Tenn-Martin Skyhawks,1.95
Tenn-Martin Skyhawks,Tennessee St Tigers,BetUS,spreads,Tennessee St Tigers,1.87
Tenn-Martin Skyhawks,Tennessee St Tigers,DraftKings,h2h,Tenn-Martin Skyhawks,1.65
Tenn-Martin Skyhawks,Tennessee St Tigers,DraftKings,h2h,Tennessee St Tigers,2.3
Tenn-Martin Skyhawks,Tennessee St Tigers,DraftKings,spreads,Tenn-Martin Skyhawks,1.89
Tenn-Martin Skyhawks,Tennessee St Tigers,DraftKings,spreads,Tennessee St Tigers,1.93
Tenn-Martin Skyhawks,Tennessee St Tigers,BetMGM,h2h,Tenn-Martin Skyhawks,1.67
Tenn-Martin Skyhawks,Tennessee St Tigers,BetMGM,h2h,Tennessee St Tigers,2.25
Tenn-Martin Skyhawks,Tennessee St Tigers,BetMGM,spreads,Tenn-Martin Skyhawks,1.87
Tenn-Martin Skyhawks,Tennessee St Tigers,BetMGM,spreads,Tennessee St Tigers,1.95
Tenn-Martin Skyhawks,Tennessee St Tigers,Bovada,h2h,Tenn-Martin Skyhawks,1.62
Tenn-Martin Skyhawks,Tennessee St Tigers,Bovada,h2h,Tennessee St Tigers,2.35
Tenn-Martin Skyhawks,Tennessee St Tigers,Bovada,spreads,Tenn-Martin Skyhawks,1.91
Tenn-Martin Skyhawks,Tennessee St Tigers,Bovada,spreads,Tennessee St Tigers,1.91
Tenn-Martin Skyhawks,Tennessee St Tigers,BetRivers,h2h,Tenn-Martin Skyhawks,1.66
Tenn-Martin Skyhawks,Tennessee St Tigers,BetRivers,h2h,Tennessee St Tigers,2.25
Tenn-Martin Skyhawks,Tennessee St Tigers,BetRivers,spreads,Tenn-Martin Skyhawks,1.91
Tenn-Martin Skyhawks,Tennessee St Tigers,BetRivers,spreads,Tennessee St Tigers,1.91
Arizona St Sun Devils,Houston Cougars,BetOnline.ag,h2h,Arizona St Sun Devils,7.15
Arizona St Sun Devils,Houston Cougars,BetOnline.ag,h2h,Houston Cougars,1.12
Arizona St Sun Devils,Houston Cougars,BetOnline.ag,spreads,Arizona St Sun Devils,1.91
Arizona St Sun Devils,Houston Cougars,BetOnline.ag,spreads,Houston Cougars,1.91
Arizona St Sun Devils,Houston Cougars,LowVig.ag,h2h,Arizona St Sun Devils,7.15
Arizona St Sun Devils,Houston Cougars,LowVig.ag,h2h,Houston Cougars,1.12
Arizona St Sun Devils,Houston Cougars,LowVig.ag,spreads,Arizona St Sun Devils,1.94
Arizona St Sun Devils,Houston Cougars,LowVig.ag,spreads,Houston Cougars,1.94
Arizona St Sun Devils,Houston Cougars,DraftKings,h2h,Arizona St Sun Devils,7.0
Arizona St Sun Devils,Houston Cougars,DraftKings,h2h,Houston Cougars,1.11
Arizona St Sun Devils,Houston Cougars,DraftKings,spreads,Arizona St Sun Devils,2.0
Arizona St Sun Devils,Houston Cougars,DraftKings,spreads,Houston Cougars,1.83
Arizona St Sun Devils,Houston Cougars,FanDuel,h2h,Arizona St Sun Devils,6.3
Arizona St Sun Devils,Houston Cougars,FanDuel,h2h,Houston Cougars,1.13
Arizona St Sun Devils,Houston Cougars,FanDuel,spreads,Arizona St Sun Devils,1.94
Arizona St Sun Devils,Houston Cougars,FanDuel,spreads,Houston Cougars,1.88
Arizona St Sun Devils,Houston Cougars,BetUS,h2h,Arizona St Sun Devils,6.5
Arizona St Sun Devils,Houston Cougars,BetUS,h2h,Houston Cougars,1.12
Arizona St Sun Devils,Houston Cougars,BetUS,spreads,Arizona St Sun Devils,1.91
Arizona St Sun Devils,Houston Cougars,BetUS,spreads,Houston Cougars,1.91
Arizona St Sun Devils,Houston Cougars,BetMGM,h2h,Arizona St Sun Devils,6.75
Arizona St Sun Devils,Houston Cougars,BetMGM,h2h,Houston Cougars,1.11
Arizona St Sun Devils,Houston Cougars,BetMGM,spreads,Arizona St Sun Devils,1.95
Arizona St Sun Devils,Houston Cougars,BetMGM,spreads,Houston Cougars,1.87
Arizona St Sun Devils,Houston Cougars,Bovada,h2h,Arizona St Sun Devils,6.5
Arizona St Sun Devils,Houston Cougars,Bovada,h2h,Houston Cougars,1.12
Arizona St Sun Devils,Houston Cougars,Bovada,spreads,Arizona St Sun Devils,1.91
Arizona St Sun Devils,Houston Cougars,Bovada,spreads,Houston Cougars,1.91
Arizona St Sun Devils,Houston Cougars,BetRivers,h2h,Arizona St Sun Devils,6.75
Arizona St Sun Devils,Houston Cougars,BetRivers,h2h,Houston Cougars,1.11
Arizona St Sun Devils,Houston Cougars,BetRivers,spreads,Arizona St Sun Devils,1.89
Arizona St Sun Devils,Houston Cougars,BetRivers,spreads,Houston Cougars,1.92
BYU Cougars,Kansas Jayhawks,BetOnline.ag,h2h,BYU Cougars,1.64
BYU Cougars,Kansas Jayhawks,BetOnline.ag,h2h,Kansas Jayhawks,2.37
BYU Cougars,Kansas Jayhawks,BetOnline.ag,spreads,BYU Cougars,1.92
BYU Cougars,Kansas Jayhawks,BetOnline.ag,spreads,Kansas Jayhawks,1.9
BYU Cougars,Kansas Jayhawks,LowVig.ag,h2h,BYU Cougars,1.64
BYU Cougars,Kansas Jayhawks,LowVig.ag,h2h,Kansas Jayhawks,2.37
BYU Cougars,Kansas Jayhawks,LowVig.ag,spreads,BYU Cougars,1.95
BYU Cougars,Kansas Jayhawks,LowVig.ag,spreads,Kansas Jayhawks,1.93
BYU Cougars,Kansas Jayhawks,DraftKings,h2h,BYU Cougars,1.65
BYU Cougars,Kansas Jayhawks,DraftKings,h2h,Kansas Jayhawks,2.3
BYU Cougars,Kansas Jayhawks,DraftKings,spreads,BYU Cougars,1.83
BYU Cougars,Kansas Jayhawks,DraftKings,spreads,Kansas Jayhawks,2.0
BYU Cougars,Kansas Jayhawks,FanDuel,h2h,BYU Cougars,1.67
BYU Cougars,Kansas Jayhawks,FanDuel,h2h,Kansas Jayhawks,2.25
BYU Cougars,Kansas Jayhawks,FanDuel,spreads,BYU Cougars,1.83
BYU Cougars,Kansas Jayhawks,FanDuel,spreads,Kansas Jayhawks,1.98
BYU Cougars,Kansas Jayhawks,BetUS,h2h,BYU Cougars,1.65
BYU Cougars,Kansas Jayhawks,BetUS,h2h,Kansas Jayhawks,2.34
BYU Cougars,Kansas Jayhawks,BetUS,spreads,BYU Cougars,1.91
BYU Cougars,Kansas Jayhawks,BetUS,spreads,Kansas Jayhawks,1.91
BYU Cougars,Kansas Jayhawks,BetMGM,h2h,BYU Cougars,1.62
BYU Cougars,Kansas Jayhawks,BetMGM,h2h,Kansas Jayhawks,2.35
BYU Cougars,Kansas Jayhawks,BetMGM,spreads,BYU Cougars,1.98
BYU Cougars,Kansas Jayhawks,BetMGM,spreads,Kansas Jayhawks,1.85
BYU Cougars,Kansas Jayhawks,Bovada,h2h,BYU Cougars,1.61
BYU Cougars,Kansas Jayhawks,Bovada,h2h,Kansas Jayhawks,2.4
BYU Cougars,Kansas Jayhawks,Bovada,spreads,BYU Cougars,1.87
BYU Cougars,Kansas Jayhawks,Bovada,spreads,Kansas Jayhawks,1.95
BYU Cougars,Kansas Jayhawks,BetRivers,h2h,BYU Cougars,1.63
BYU Cougars,Kansas Jayhawks,BetRivers,h2h,Kansas Jayhawks,2.3
BYU Cougars,Kansas Jayhawks,BetRivers,spreads,BYU Cougars,1.91
BYU Cougars,Kansas Jayhawks,BetRivers,spreads,Kansas Jayhawks,1.91
Boston College Eagles,Virginia Tech Hokies,BetOnline.ag,h2h,Boston College Eagles,2.07
Boston College Eagles,Virginia Tech Hokies,BetOnline.ag,h2h,Virginia Tech Hokies,1.79
Boston College Eagles,Virginia Tech Hokies,BetOnline.ag,spreads,Boston College Eagles,1.96
Boston College Eagles,Virginia Tech Hokies,BetOnline.ag,spreads,Virginia Tech Hokies,1.86
Boston College Eagles,Virginia Tech Hokies,LowVig.ag,h2h,Boston College Eagles,2.07
Boston College Eagles,Virginia Tech Hokies,LowVig.ag,h2h,Virginia Tech Hokies,1.79
Boston College Eagles,Virginia Tech Hokies,LowVig.ag,spreads,Boston College Eagles,2.0
Boston College Eagles,Virginia Tech Hokies,LowVig.ag,spreads,Virginia Tech Hokies,1.89
Boston College Eagles,Virginia Tech Hokies,FanDuel,h2h,Boston College Eagles,1.98
Boston College Eagles,Virginia Tech Hokies,FanDuel,h2h,Virginia Tech Hokies,1.85
Boston College Eagles,Virginia Tech Hokies,FanDuel,spreads,Boston College Eagles,1.88
Boston College Eagles,Virginia Tech Hokies,FanDuel,spreads,Virginia Tech Hokies,1.94
Boston College Eagles,Virginia Tech Hokies,DraftKings,h2h,Boston College Eagles,2.0
